q1_rad,q2_rad,q3_rad,left_tilt_servo_deg,right_lift_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.3018682992,0.445329252,0.6108652382,55.40844097,73.56058576,70,1,1,safe,
-0.3018682992,0.445329252,0.6981317008,55.40844097,73.56058576,80,1,1,safe,
-0.3018682992,0.445329252,0.7853981634,55.40844097,73.56058576,90,1,1,safe,
-0.3018682992,0.445329252,0.872664626,55.40844097,73.56058576,100,1,1,safe,
-0.3018682992,0.445329252,0.9599310886,55.40844097,73.56058576,110,1,1,safe,
-0.3018682992,0.445329252,1.047197551,55.40844097,73.56058576,120,1,1,safe,
-0.3018682992,0.445329252,1.134464014,55.40844097,73.56058576,130,1,1,safe,
-0.3018682992,0.445329252,1.221730476,55.40844097,73.56058576,140,1,1,safe,
-0.3018682992,0.445329252,1.308996939,55.40844097,73.56058576,150,1,1,safe,
-0.3018682992,0.445329252,1.396263402,55.40844097,73.56058576,160,1,1,safe,
-0.3018682992,0.445329252,1.483529864,55.40844097,73.56058576,170,1,1,safe,
-0.3018682992,0.5325957146,0,55.40844097,63.56058576,0,1,1,safe,
-0.3018682992,0.5325957146,0.0872664626,55.40844097,63.56058576,10,1,1,safe,
-0.3018682992,0.5325957146,0.1745329252,55.40844097,63.56058576,20,1,1,safe,
-0.3018682992,0.5325957146,0.2617993878,55.40844097,63.56058576,30,1,1,safe,
-0.3018682992,0.5325957146,0.3490658504,55.40844097,63.56058576,40,1,1,safe,
-0.3018682992,0.5325957146,0.436332313,55.40844097,63.56058576,50,1,1,safe,
-0.3018682992,0.5325957146,0.5235987756,55.40844097,63.56058576,60,1,1,safe,
-0.3018682992,0.5325957146,0.6108652382,55.40844097,63.56058576,70,1,1,safe,
-0.3018682992,0.5325957146,0.6981317008,55.40844097,63.56058576,80,1,1,safe,
-0.3018682992,0.5325957146,0.7853981634,55.40844097,63.56058576,90,1,1,safe,
-0.3018682992,0.5325957146,0.872664626,55.40844097,63.56058576,100,1,1,safe,
-0.3018682992,0.5325957146,0.9599310886,55.40844097,63.56058576,110,1,1,safe,
-0.3018682992,0.5325957146,1.047197551,55.40844097,63.56058576,120,1,1,safe,
-0.3018682992,0.5325957146,1.134464014,55.40844097,63.56058576,130,1,1,safe,
-0.3018682992,0.5325957146,1.221730476,55.40844097,63.56058576,140,1,1,safe,
-0.3018682992,0.5325957146,1.308996939,55.40844097,63.56058576,150,1,1,safe,
-0.3018682992,0.5325957146,1.396263402,55.40844097,63.56058576,160,1,1,safe,
