q1_rad,q2_rad,q3_rad,left_tilt_servo_deg,right_lift_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.406588055,0.93402144,0.7417649321,43.4084409,29.56058613,85,1,1,safe,
-0.406588055,0.93402144,0.7853981634,43.4084409,29.56058613,90,1,1,safe,
-0.406588055,0.93402144,0.8290313947,43.4084409,29.56058613,95,1,1,safe,
-0.406588055,0.93402144,0.872664626,43.4084409,29.56058613,100,1,1,safe,
-0.406588055,0.93402144,0.9162978573,43.4084409,29.56058613,105,1,1,safe,
-0.406588055,0.93402144,0.9599310886,43.4084409,29.56058613,110,1,1,safe,
-0.406588055,0.93402144,1.00356432,43.4084409,29.56058613,115,1,1,safe,
-0.406588055,0.93402144,1.047197551,43.4084409,29.56058613,120,1,1,safe,
-0.406588055,0.93402144,1.090830782,43.4084409,29.56058613,125,1,1,safe,
-0.406588055,0.93402144,1.134464014,43.4084409,29.56058613,130,1,1,safe,
-0.406588055,0.93402144,1.178097245,43.4084409,29.56058613,135,1,1,safe,
-0.406588055,0.93402144,1.221730476,43.4084409,29.56058613,140,1,1,safe,
-0.406588055,0.93402144,1.265363708,43.4084409,29.56058613,145,1,1,safe,
-0.406588055,0.93402144,1.308996939,43.4084409,29.56058613,150,1,1,safe,
-0.406588055,0.93402144,1.35263017,43.4084409,29.56058613,155,1,1,safe,
-0.406588055,0.93402144,1.396263402,43.4084409,29.56058613,160,1,1,safe,
-0.406588055,0.93402144,1.439896633,43.4084409,29.56058613,165,1,1,safe,
-0.406588055,0.93402144,1.483529864,43.4084409,29.56058613,170,1,1,safe,
-0.406588055,0.93402144,1.527163096,43.4084409,29.56058613,175,1,1,safe,
-0.406588055,0.968928025,0,43.4084409,25.56058613,0,1,1,safe,
-0.406588055,0.968928025,0.0436332313,43.4084409,25.56058613,5,1,1,safe,
-0.406588055,0.968928025,0.0872664626,43.4084409,25.56058613,10,1,1,safe,
-0.406588055,0.968928025,0.1308996939,43.4084409,25.56058613,15,1,1,safe,
-0.406588055,0.968928025,0.1745329252,43.4084409,25.56058613,20,1,1,safe,
-0.406588055,0.968928025,0.2181661565,43.4084409,25.56058613,25,1,1,safe,
-0.406588055,0.968928025,0.2617993878,43.4084409,25.56058613,30,1,1,safe,
-0.406588055,0.968928025,0.3054326191,43.4084409,25.56058613,35,1,1,safe,
-0.406588055,0.968928025,0.3490658504,43.4084409,25.56058613,40,1,1,safe,
-0.406588055,0.968928025,0.3926990817,43.4084409,25.56058613,45,1,1,safe,
-0.406588055,0.968928025,0.436332313,43.4084409,25.56058613,50,1,1,safe,
-0.406588055,0.968928025,0.4799655443,43.4084409,25.56058613,55,1,1,safe,
-0.406588055,0.968928025,0.5235987756,43.4084409,25.56058613,60,1,1,safe,
-0.406588055,0.968928025,0.5672320069,43.4084409,25.56058613,65,1,1,safe,
-0.406588055,0.968928025,0.6108652382,43.4084409,25.56058613,70,1,1,safe,
-0.406588055,0.968928025,0.6544984695,43.4084409,25.56058613,75,1,1,safe,
-0.406588055,0.968928025,0.6981317008,43.4084409,25.56058613,80,1,1,safe,
-0.406588055,0.968928025,0.7417649321,43.4084409,25.56058613,85,1,1,safe,
-0.406588055,0.968928025,0.7853981634,43.4084409,25.56058613,90,1,1,safe,
-0.406588055,0.968928025,0.8290313947,43.4084409,25.56058613,95,1,1,safe,
-0.406588055,0.968928025,0.872664626,43.4084409,25.56058613,100,1,1,safe,
-0.406588055,0.968928025,0.9162978573,43.4084409,25.56058613,105,1,1,safe,
-0.406588055,0.968928025,0.9599310886,43.4084409,25.56058613,110,1,1,safe,
-0.406588055,0.968928025,1.00356432,43.4084409,25.56058613,115,1,1,safe,
-0.406588055,0.968928025,1.047197551,43.4084409,25.56058613,120,1,1,safe,
-0.406588055,0.968928025,1.090830782,43.4084409,25.56058613,125,1,1,safe,
-0.406588055,0.968928025,1.134464014,43.4084409,25.56058613,130,1,1,safe,
-0.406588055,0.968928025,1.178097245,43.4084409,25.56058613,135,1,1,safe,
-0.406588055,0.968928025,1.221730476,43.4084409,25.56058613,140,1,1,safe,
-0.406588055,0.968928025,1.265363708,43.4084409,25.56058613,145,1,1,safe,
-0.406588055,0.968928025,1.308996939,43.4084409,25.56058613,150,1,1,safe,
-0.406588055,0.968928025,1.35263017,43.4084409,25.56058613,155,1,1,safe,
-0.406588055,0.968928025,1.396263402,43.4084409,25.56058613,160,1,1,safe,
-0.406588055,0.968928025,1.439896633,43.4084409,25.56058613,165,1,1,safe,
-0.406588055,0.968928025,1.483529864,43.4084409,25.56058613,170,1,1,safe,
-0.406588055,0.968928025,1.527163096,43.4084409,25.56058613,175,1,1,safe,
-0.406588055,1.00383461,0,43.4084409,21.56058614,0,1,1,safe,
-0.406588055,1.00383461,0.0436332313,43.4084409,21.56058614,5,1,1,safe,
-0.406588055,1.00383461,0.0872664626,43.4084409,21.56058614,10,1,1,safe,
-0.406588055,1.00383461,0.1308996939,43.4084409,21.56058614,15,1,1,safe,
-0.406588055,1.00383461,0.1745329252,43.4084409,21.56058614,20,1,1,safe,
-0.406588055,1.00383461,0.2181661565,43.4084409,21.56058614,25,1,1,safe,
-0.406588055,1.00383461,0.2617993878,43.4084409,21.56058614,30,1,1,safe,
-0.406588055,1.00383461,0.3054326191,43.4084409,21.56058614,35,1,1,safe,
-0.406588055,1.00383461,0.3490658504,43.4084409,21.56058614,40,1,1,safe,
-0.406588055,1.00383461,0.3926990817,43.4084409,21.56058614,45,1,1,safe,
-0.406588055,1.00383461,0.436332313,43.4084409,21.56058614,50,1,1,safe,
-0.406588055,1.00383461,0.4799655443,43.4084409,21.56058614,55,1,1,safe,
-0.406588055,1.00383461,0.5235987756,43.4084409,21.56058614,60,1,1,safe,
-0.406588055,1.00383461,0.5672320069,43.4084409,21.56058614,65,1,1,safe,
-0.406588055,1.00383461,0.6108652382,43.4084409,21.56058614,70,1,1,safe,
-0.406588055,1.00383461,0.6544984695,43.4084409,21.56058614,75,1,1,safe,
-0.406588055,1.00383461,0.6981317008,43.4084409,21.56058614,80,1,1,safe,
-0.406588055,1.00383461,0.7417649321,43.4084409,21.56058614,85,1,1,safe,
-0.406588055,1.00383461,0.7853981634,43.4084409,21.56058614,90,1,1,safe,
-0.406588055,1.00383461,0.8290313947,43.4084409,21.56058614,95,1,1,safe,
-0.406588055,1.00383461,0.872664626,43.4084409,21.56058614,100,1,1,safe,
-0.406588055,1.00383461,0.9162978573,43.4084409,21.56058614,105,1,1,safe,
-0.406588055,1.00383461,0.9599310886,43.4084409,21.56058614,110,1,1,safe,
-0.406588055,1.00383461,1.00356432,43.4084409,21.56058614,115,1,1,safe,
-0.406588055,1.00383461,1.047197551,43.4084409,21.56058614,120,1,1,safe,
-0.406588055,1.00383461,1.090830782,43.4084409,21.56058614,125,1,1,safe,
-0.406588055,1.00383461,1.134464014,43.4084409,21.56058614,130,1,1,safe,
-0.406588055,1.00383461,1.178097245,43.4084409,21.56058614,135,1,1,safe,
-0.406588055,1.00383461,1.221730476,43.4084409,21.56058614,140,1,1,safe,
-0.406588055,1.00383461,1.265363708,43.4084409,21.56058614,145,1,1,safe,
-0.406588055,1.00383461,1.308996939,43.4084409,21.56058614,150,1,1,safe,
-0.406588055,1.00383461,1.35263017,43.4084409,21.56058614,155,1,1,safe,
-0.406588055,1.00383461,1.396263402,43.4084409,21.56058614,160,1,1,safe,
-0.406588055,1.00383461,1.439896633,43.4084409,21.56058614,165,1,1,safe,
-0.406588055,1.00383461,1.483529864,43.4084409,21.56058614,170,1,1,safe,
-0.406588055,1.00383461,1.527163096,43.4084409,21.56058614,175,1,1,safe,
-0.406588055,1.038741195,0,43.4084409,17.56058614,0,1,1,safe,
-0.406588055,1.038741195,0.0436332313,43.4084409,17.56058614,5,1,1,safe,
-0.406588055,1.038741195,0.0872664626,43.4084409,17.56058614,10,1,1,safe,
-0.406588055,1.038741195,0.1308996939,43.4084409,17.56058614,15,1,1,safe,
-0.406588055,1.038741195,0.1745329252,43.4084409,17.56058614,20,1,1,safe,
-0.406588055,1.038741195,0.2181661565,43.4084409,17.56058614,25,1,1,safe,
-0.406588055,1.038741195,0.2617993878,43.4084409,17.56058614,30,1,1,safe,
-0.406588055,1.038741195,0.3054326191,43.4084409,17.56058614,35,1,1,safe,
-0.406588055,1.038741195,0.3490658504,43.4084409,17.56058614,40,1,1,safe,
-0.406588055,1.038741195,0.3926990817,43.4084409,17.56058614,45,1,1,safe,
-0.406588055,1.038741195,0.436332313,43.4084409,17.56058614,50,1,1,safe,
-0.406588055,1.038741195,0.4799655443,43.4084409,17.56058614,55,1,1,safe,
-0.406588055,1.038741195,0.5235987756,43.4084409,17.56058614,60,1,1,safe,
-0.406588055,1.038741195,0.5672320069,43.4084409,17.56058614,65,1,1,safe,
-0.406588055,1.038741195,0.6108652382,43.4084409,17.56058614,70,1,1,safe,
-0.406588055,1.038741195,0.6544984695,43.4084409,17.56058614,75,1,1,safe,
-0.406588055,1.038741195,0.6981317008,43.4084409,17.56058614,80,1,1,safe,
-0.406588055,1.038741195,0.7417649321,43.4084409,17.56058614,85,1,1,safe,
-0.406588055,1.038741195,0.7853981634,43.4084409,17.56058614,90,1,1,safe,
-0.406588055,1.038741195,0.8290313947,43.4084409,17.56058614,95,1,1,safe,
-0.406588055,1.038741195,0.872664626,43.4084409,17.56058614,100,1,1,safe,
-0.406588055,1.038741195,0.9162978573,43.4084409,17.56058614,105,1,1,safe,
-0.406588055,1.038741195,0.9599310886,43.4084409,17.56058614,110,1,1,safe,
-0.406588055,1.038741195,1.00356432,43.4084409,17.56058614,115,1,1,safe,
