q1_rad,q2_rad,q3_rad,lift_servo_deg,tilt_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.563667687,0.6198621772,-0.2028024488,154.591559,96.43941424,138.3802752,1,1,safe,
-0.563667687,0.7071286398,-0.7264012244,154.591559,106.4394142,78.38027522,1,1,safe,
-0.563667687,0.7071286398,-0.6391347618,154.591559,106.4394142,88.38027522,1,1,safe,
-0.563667687,0.7071286398,-0.5518682992,154.591559,106.4394142,98.38027522,1,1,safe,
-0.563667687,0.7071286398,-0.4646018366,154.591559,106.4394142,108.3802752,1,1,safe,
-0.563667687,0.7071286398,-0.377335374,154.591559,106.4394142,118.3802752,1,1,safe,
-0.563667687,0.7071286398,-0.2900689114,154.591559,106.4394142,128.3802752,1,1,safe,
-0.563667687,0.7071286398,-0.2028024488,154.591559,106.4394142,138.3802752,1,1,safe,
-0.563667687,0.7943951024,-0.7264012244,154.591559,116.4394142,78.38027522,1,1,safe,
-0.563667687,0.7943951024,-0.6391347618,154.591559,116.4394142,88.38027522,1,1,safe,
-0.563667687,0.7943951024,-0.5518682992,154.591559,116.4394142,98.38027522,1,1,safe,
-0.563667687,0.7943951024,-0.4646018366,154.591559,116.4394142,108.3802752,1,1,safe,
-0.563667687,0.7943951024,-0.377335374,154.591559,116.4394142,118.3802752,1,1,safe,
-0.563667687,0.7943951024,-0.2900689114,154.591559,116.4394142,128.3802752,1,1,safe,
-0.563667687,0.7943951024,-0.2028024488,154.591559,116.4394142,138.3802752,1,1,safe,
-0.563667687,0.881661565,-0.7264012244,154.591559,126.4394142,78.38027522,1,1,safe,
-0.563667687,0.881661565,-0.6391347618,154.591559,126.4394142,88.38027522,1,1,safe,
-0.563667687,0.881661565,-0.5518682992,154.591559,126.4394142,98.38027522,1,1,safe,
-0.563667687,0.881661565,-0.4646018366,154.591559,126.4394142,108.3802752,1,1,safe,
-0.563667687,0.881661565,-0.377335374,154.591559,126.4394142,118.3802752,1,1,safe,
-0.563667687,0.881661565,-0.2900689114,154.591559,126.4394142,128.3802752,1,1,safe,
-0.563667687,0.881661565,-0.2028024488,154.591559,126.4394142,138.3802752,1,1,safe,
-0.4764012244,-0.1655359862,-0.6391347618,144.591559,16.43941424,88.38027522,1,1,safe,
-0.4764012244,-0.1655359862,-0.5518682992,144.591559,16.43941424,98.38027522,1,1,safe,
-0.4764012244,-0.1655359862,-0.4646018366,144.591559,16.43941424,108.3802752,1,1,safe,
-0.4764012244,-0.1655359862,-0.377335374,144.591559,16.43941424,118.3802752,1,1,safe,
-0.4764012244,-0.1655359862,-0.2900689114,144.591559,16.43941424,128.3802752,1,1,safe,
-0.4764012244,-0.1655359862,-0.2028024488,144.591559,16.43941424,138.3802752,1,1,safe,
-0.4764012244,-0.0782695236,-0.7264012244,144.591559,26.43941424,78.38027522,1,1,safe,
-0.4764012244,-0.0782695236,-0.6391347618,144.591559,26.43941424,88.38027522,1,1,safe,
-0.4764012244,-0.0782695236,-0.5518682992,144.591559,26.43941424,98.38027522,1,1,safe,
-0.4764012244,-0.0782695236,-0.4646018366,144.591559,26.43941424,108.3802752,1,1,safe,
-0.4764012244,-0.0782695236,-0.377335374,144.591559,26.43941424,118.3802752,1,1,safe,
-0.4764012244,-0.0782695236,-0.2900689114,144.591559,26.43941424,128.3802752,1,1,safe,
-0.4764012244,-0.0782695236,-0.2028024488,144.591559,26.43941424,138.3802752,1,1,safe,
-0.4764012244,0.008996939,-0.7264012244,144.591559,36.43941424,78.38027522,1,1,safe,
-0.4764012244,0.008996939,-0.6391347618,144.591559,36.43941424,88.38027522,1,1,safe,
-0.4764012244,0.008996939,-0.5518682992,144.591559,36.43941424,98.38027522,1,1,safe,
-0.4764012244,0.008996939,-0.4646018366,144.591559,36.43941424,108.3802752,1,1,safe,
-0.4764012244,0.008996939,-0.377335374,144.591559,36.43941424,118.3802752,1,1,safe,
-0.4764012244,0.008996939,-0.2900689114,144.591559,36.43941424,128.3802752,1,1,safe,
-0.4764012244,0.008996939,-0.2028024488,144.591559,36.43941424,138.3802752,1,1,safe,
-0.4764012244,0.0962634016,-0.7264012244,144.591559,46.43941424,78.38027522,1,1,safe,
-0.4764012244,0.0962634016,-0.6391347618,144.591559,46.43941424,88.38027522,1,1,safe,
-0.4764012244,0.0962634016,-0.5518682992,144.591559,46.43941424,98.38027522,1,1,safe,
-0.4764012244,0.0962634016,-0.4646018366,144.591559,46.43941424,108.3802752,1,1,safe,
-0.4764012244,0.0962634016,-0.377335374,144.591559,46.43941424,118.3802752,1,1,safe,
-0.4764012244,0.0962634016,-0.2900689114,144.591559,46.43941424,128.3802752,1,1,safe,
-0.4764012244,0.0962634016,-0.2028024488,144.591559,46.43941424,138.3802752,1,1,safe,
-0.4764012244,0.1835298642,-0.7264012244,144.591559,56.43941424,78.38027522,1,1,safe,
-0.4764012244,0.1835298642,-0.6391347618,144.591559,56.43941424,88.38027522,1,1,safe,
-0.4764012244,0.1835298642,-0.5518682992,144.591559,56.43941424,98.38027522,1,1,safe,
-0.4764012244,0.1835298642,-0.4646018366,144.591559,56.43941424,108.3802752,1,1,safe,
-0.4764012244,0.1835298642,-0.377335374,144.591559,56.43941424,118.3802752,1,1,safe,
-0.4764012244,0.1835298642,-0.2900689114,144.591559,56.43941424,128.3802752,1,1,safe,
-0.4764012244,0.1835298642,-0.2028024488,144.591559,56.43941424,138.3802752,1,1,safe,
-0.4764012244,0.2707963268,-0.7264012244,144.591559,66.43941424,78.38027522,1,1,safe,
-0.4764012244,0.2707963268,-0.6391347618,144.591559,66.43941424,88.38027522,1,1,safe,
-0.4764012244,0.2707963268,-0.5518682992,144.591559,66.43941424,98.38027522,1,1,safe,
-0.4764012244,0.2707963268,-0.4646018366,144.591559,66.43941424,108.3802752,1,1,safe,
-0.4764012244,0.2707963268,-0.377335374,144.591559,66.43941424,118.3802752,1,1,safe,
-0.4764012244,0.2707963268,-0.2900689114,144.591559,66.43941424,128.3802752,1,1,safe,
-0.4764012244,0.2707963268,-0.2028024488,144.591559,66.43941424,138.3802752,1,1,safe,
-0.4764012244,0.3580627894,-0.7264012244,144.591559,76.43941424,78.38027522,1,1,safe,
-0.4764012244,0.3580627894,-0.6391347618,144.591559,76.43941424,88.38027522,1,1,safe,
-0.4764012244,0.3580627894,-0.5518682992,144.591559,76.43941424,98.38027522,1,1,safe,
-0.4764012244,0.3580627894,-0.4646018366,144.591559,76.43941424,108.3802752,1,1,safe,
-0.4764012244,0.3580627894,-0.377335374,144.591559,76.43941424,118.3802752,1,1,safe,
-0.4764012244,0.3580627894,-0.2900689114,144.591559,76.43941424,128.3802752,1,1,safe,
-0.4764012244,0.3580627894,-0.2028024488,144.591559,76.43941424,138.3802752,1,1,safe,
-0.4764012244,0.445329252,-0.7264012244,144.591559,86.43941424,78.38027522,1,1,safe,
-0.4764012244,0.445329252,-0.6391347618,144.591559,86.43941424,88.38027522,1,1,safe,
-0.4764012244,0.445329252,-0.5518682992,144.591559,86.43941424,98.38027522,1,1,safe,
-0.4764012244,0.445329252,-0.4646018366,144.591559,86.43941424,108.3802752,1,1,safe,
-0.4764012244,0.445329252,-0.377335374,144.591559,86.43941424,118.3802752,1,1,safe,
-0.4764012244,0.445329252,-0.2900689114,144.591559,86.43941424,128.3802752,1,1,safe,
-0.4764012244,0.445329252,-0.2028024488,144.591559,86.43941424,138.3802752,1,1,safe,
-0.4764012244,0.5325957146,-0.7264012244,144.591559,96.43941424,78.38027522,1,1,safe,
-0.4764012244,0.5325957146,-0.6391347618,144.591559,96.43941424,88.38027522,1,1,safe,
-0.4764012244,0.5325957146,-0.5518682992,144.591559,96.43941424,98.38027522,1,1,safe,
-0.4764012244,0.5325957146,-0.4646018366,144.591559,96.43941424,108.3802752,1,1,safe,
-0.4764012244,0.5325957146,-0.377335374,144.591559,96.43941424,118.3802752,1,1,safe,
-0.4764012244,0.5325957146,-0.2900689114,144.591559,96.43941424,128.3802752,1,1,safe,
-0.4764012244,0.5325957146,-0.2028024488,144.591559,96.43941424,138.3802752,1,1,safe,
-0.4764012244,0.6198621772,-0.7264012244,144.591559,106.4394142,78.38027522,1,1,safe,
-0.4764012244,0.6198621772,-0.6391347618,144.591559,106.4394142,88.38027522,1,1,safe,
-0.4764012244,0.6198621772,-0.5518682992,144.591559,106.4394142,98.38027522,1,1,safe,
-0.4764012244,0.6198621772,-0.4646018366,144.591559,106.4394142,108.3802752,1,1,safe,
-0.4764012244,0.6198621772,-0.377335374,144.591559,106.4394142,118.3802752,1,1,safe,
-0.4764012244,0.6198621772,-0.2900689114,144.591559,106.4394142,128.3802752,1,1,safe,
-0.4764012244,0.6198621772,-0.2028024488,144.591559,106.4394142,138.3802752,1,1,safe,
-0.4764012244,0.7071286398,-0.7264012244,144.591559,116.4394142,78.38027522,1,1,safe,
-0.4764012244,0.7071286398,-0.6391347618,144.591559,116.4394142,88.38027522,1,1,safe,
-0.4764012244,0.7071286398,-0.5518682992,144.591559,116.4394142,98.38027522,1,1,safe,
-0.4764012244,0.7071286398,-0.4646018366,144.591559,116.4394142,108.3802752,1,1,safe,
